id,n,cubic.a,cubic.b1,cubic.b2,cubic.b3,cubic.Rsq,cubic.aic,cubic.bic,cubic.aicc
487,8,-0.006285381444354224,0.5751865000839101,-15.705486651915898,150.14135950393987,0.9995832547549647,-7.839736562951309,-7.521970396231966,5.493596770382025
505,7,-0.0077333333333333525,0.3744761904761919,-4.162857142857177,24.91428571428589,0.87129450511621,48.152274870894225,47.93591546711548,68.15227487089422
510,7,0.013575667141445435,-0.8298868609520063,16.01125769303313,2.332065329218512,0.7930933027499673,33.14130655989471,32.92494715611596,53.14130655989471
511,8,0.003156692539453998,-0.38504524713989413,12.326137260344682,-15.91912626622055,0.20782629800838237,63.9483370508986,64.26610321761794,77.28167038423193
514,9,0.005347899256137781,-0.36658614354465296,8.125589455803565,42.49379146654519,0.05429245000847649,49.18794310781086,49.97684141715574,59.18794310781086
515,9,-0.023867965413271557,1.771425081460271,-42.29905850013909,423.72495044407174,0.10794078108608662,77.16983290984756,77.95873121919243,87.16983290984756
518,9,0.0033618257762610534,-0.22542228875398646,4.774860034319256,67.85212064530612,0.22480133412028858,47.37356563162334,48.16246394096822,57.37356563162334
519,9,0.02348133669093258,-1.667964768394098,37.61668905455066,-170.08969757776978,0.5315829420798476,65.53232430155481,66.3212226108997,75.53232430155481
573,12,-0.0013177917309997074,0.08092998613799296,-1.4097312322155797,14.325123840131901,0.2948561413791353,56.64071916824067,58.58034576739267,62.35500488252639
574,12,0.0016213769686629393,-0.15631965224821723,4.701226702878742,-36.36279355041893,0.603566931854358,49.24156711550938,51.18119371466138,54.9558528297951
575,12,0.0005993041071287008,-0.0642559431531893,2.083133365436316,-16.761878187057366,0.24866611399187233,49.499190062328154,51.43881666148015,55.21347577661387
576,12,0.00010344290115656906,-0.06010925947171354,3.079098258607283,-30.879931816629057,0.5399645872719654,58.86350737231547,60.80313397146747,64.57779308660118
577,12,0.007257468082903373,-0.6707241556877366,19.54045225182133,-168.91546649746672,0.5058322902599401,71.75566568357246,73.69529228272447,77.46995139785817
587,6,-1.003537777777686e-06,-0.0008174853809523849,0.022622031253968316,0.13675673199999966,0.948059841176183,-20.561736035813887,-21.39469815890167,19.438263964186113
588,6,-0.00029225942962962865,0.011306816769841192,-0.07526355898147982,0.36847635333332307,0.9192596719395016,-1.7322820994709804,-2.5652442225587606,38.26771790052902
589,6,-0.0006354497088888866,0.028316354195237887,-0.2996641648730116,1.2409151199999764,0.9536913730059946,-0.16118803933050252,-0.9941501624182827,39.838811960669496
590,7,-0.00023839068800000118,0.009082324260952459,-0.03623089635238243,0.2912875405714359,0.8652966507974442,6.6151133410502325,6.3987539372714854,26.615113341050233
591,8,-8.144980825987846e-05,0.0017356918642609507,0.03281870384702627,0.08577206215765219,0.7685088113224572,4.034783823656449,4.352549990375792,17.368117156989783
592,29,-0.00028386419831592617,0.01080130161990537,-0.045462458140593034,0.31444993854117115,0.9277941036600859,-21.294150821696505,-15.824967501750608,-19.627484155029837
593,7,-0.00024867808152272326,0.010853673257183278,-0.09040080428939365,0.5477355152367145,0.9554093173182375,-4.641639335745801,-4.857998739524548,15.3583606642542
594,7,-0.0002532353735412072,0.013669644186135123,-0.17088032398100278,0.7135021012834405,0.979795949762174,-11.854456568671697,-12.070815972450443,8.145543431328303
595,8,-0.0006828446711334155,0.015636890625042598,0.2533963109842284,0.6376168246743652,0.7592115802929593,38.38261663866426,38.700382805383605,51.715949971997595
596,30,-0.0013818456277277225,0.05077508631879263,-0.1496238767063639,1.5137420540218685,0.8363874004393301,104.1091948628785,109.71398438952711,105.70919486287849
597,7,-0.0011682659558880297,0.050941012293635644,-0.41473896709537494,2.553560716409757,0.9505157518372089,18.30056317898744,18.08420377520869,38.30056317898744
598,7,-0.001012205106752814,0.05498339579728449,-0.7011385769710202,2.9537092721313263,0.9702284944817687,9.955470790794305,9.739111387015559,29.955470790794305
601,18,-0.00016311703126791594,0.007385447045923623,0.0474739652999929,-0.2657074742775807,0.9859100748492506,-21.93800092587824,-18.37651389429358,-18.861077848955162
602,18,-0.00014375243550051594,0.005684951306114574,0.0773684059455608,-0.4142634603560127,0.9871023730681674,-28.30367452573367,-24.74218749414901,-25.226751448810592
603,19,-0.00018640524366588847,0.013713391665056574,-0.20642827406240832,1.4165291632927826,0.9977354536999361,-54.03845239744821,-50.26069648078245,-51.18130954030536
604,18,-8.767305561747036e-05,0.006850508409249149,-0.11842000997923428,0.8172711673708697,0.9963442054837586,-68.41396037478252,-64.85247334319786,-65.33703729785944
615,6,-0.0030314870370370312,0.14785267444444375,-1.7389601232804073,11.549616066666568,0.8881252794543281,26.510756315448994,25.677794192361212,66.51075631544899
616,6,-0.000568175111111109,0.045208196190475954,-0.506881641269836,5.999888999999973,0.9865258732894314,18.57247591409514,17.73951379100736,58.572475914095136
617,6,-0.0024299145555555578,0.03470909333333341,0.8477009329365077,5.301039011904774,0.7932373449532378,36.522552485862036,35.689590362774254,76.52255248586204
618,6,-0.004024835148148146,0.07324898126984127,0.9771605842592598,4.63277246269843,0.9971370903992794,13.840168846544575,13.007206723456797,53.84016884654457
619,6,-0.004680400592592583,0.06558157650793625,0.8764979513227533,14.263918936507947,0.9948287624120725,19.618742640620983,18.785780517533205,59.61874264062098
621,6,0.0030820276296296355,-0.13394061111111144,2.8416352838624404,22.157216817460334,0.9944523376018752,25.159338953701607,24.326376830613825,65.1593389537016
622,6,-0.0011659451111111115,-0.031190486190476412,2.5394907301587364,16.87084766666668,0.9975419189158543,18.910506839582837,18.07754471649506,58.91050683958284
623,6,-0.0003001436296296303,-0.04907301603174614,1.954890066137569,12.010056111111135,0.9872026524770711,22.48520894555278,21.652246822465003,62.485208945552785
624,6,-0.0025089834074074058,0.08387560634920639,-0.30947426560846636,5.645537920634929,0.9656766071783054,19.326066033349463,18.493103910261684,59.32606603334946
625,6,-0.0035420219185185137,0.10732336458730153,-0.13332640973545015,6.09342983015874,0.9862166712743834,19.042298515659986,18.209336392572208,59.042298515659986
626,6,-0.0033176117407407403,0.10569746206349218,-0.26121635727513354,7.047847327777784,0.9914818679297233,14.857078607158126,14.024116484070346,54.85707860715813
637,11,0.0013887984516574438,-0.12083981035725161,3.115961354950479,-14.946052421990396,0.9899862218533806,0.4559227357365465,2.047503826930029,7.1225894024032135
638,7,-0.00011324319372584052,-0.010259067977250904,0.682024378058946,-0.011946139597890384,0.9607549035404891,7.239908578643114,7.023549174864367,27.239908578643114
644,6,-0.001982437148148092,0.10403705085713894,-1.269886359867639,4.556616638094659,0.7602837421392576,30.614569540550463,29.78160741746268,70.61456954055046
645,6,-0.0006131116666666618,0.03064503028571392,-0.49911616547618337,5.318559499999963,0.5485296298330631,20.396822916498742,19.56386079341096,60.39682291649874
646,6,-0.0007830100592592552,0.031895523396825075,-0.007096617248671083,4.421052266666631,0.9914230447885476,9.856773463508436,9.023811340420655,49.85677346350843
650,6,4.173279778920814e-05,-0.008302062560794616,0.35906195060148005,-1.74231831851326,0.9978975082225324,-26.569303806212496,-27.402265929300277,13.430696193787504
652,8,-8.383107427122471e-05,0.0035847162105729705,0.009590649314989465,1.1241526126656933,0.9941762643199279,-13.550060130110744,-13.2322939633914,-0.2167267967774098
653,14,-0.00014601743628582333,0.00760135543984707,-0.011153104340159944,-0.006906861379733494,0.9912186856974348,-27.952297929030195,-25.39606861056916,-23.507853484585752
654,25,-0.00011771135874633162,0.00794067043046389,-0.0953581601473397,0.9239248169411528,0.9437390442416764,-22.826463691319983,-17.950960391847183,-20.826463691319983
